cap,max_pos,sizing_pos,gross_target,cagr,avg_exposure,avg_position_weight,n_trades,win_rate,mdd,end_nav,description
12,12,12,2.0,0.1692109941660631,0.6707165288021317,0.28938358694865796,286,0.6643356643356644,-0.22139505818562571,342603.04615038965,"CAP=12, MaxPos=12, Sizing=12 (基準)"
24,24,24,2.0,0.10005891044293302,0.432592062362495,0.11190887596605022,374,0.6390374331550802,-0.11114372021777869,211949.6612678578,"CAP=24, MaxPos=24, Sizing=24 (等比放大-會稀釋)"
24,24,12,2.0,0.1726823160935851,0.7430740275427332,0.27351524567611846,341,0.6422287390029325,-0.22105468685370125,350697.54395110346,"CAP=24, MaxPos=24, Sizing=12 (解耦-新功能)"
24,12,12,2.0,0.17338732617251518,0.7286279358488876,0.287100601940527,317,0.6498422712933754,-0.22135758874257544,352361.74406807683,"CAP=24, MaxPos=12, Sizing=12 (舊解耦)"
16,16,12,2.0,0.1693584040834022,0.7042322978340135,0.27445182881756236,321,0.6510903426791277,-0.22178837130461418,342943.4333974771,"CAP=16, MaxPos=16, Sizing=12 (微調)"
