gross_normal,gross_riskoff,gross_stress,stop_loss,costs_bps,borrow_rate,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_trades,win_rate,avg_win,avg_loss,profit_factor,exposure_avg,max_leverage,stop_loss_triggered,margin_interest,mdd_pass,sharpe_pass,lev_pass,all_pass
1.75,0.8,0.0,0.0,10,0.06,1.8313234586638956,0.12486331546800966,0.14014955298625445,0.9100418988315545,0.9382786454078149,-0.19451596464200252,0.6419180847074157,314,0.6560509554140127,0.07981489904780514,-0.06678723934236899,2.2794703174484874,0.5764631329868468,1.7927357560290298,0,11091.963172344278,True,False,True,False
1.75,0.7,0.0,0.0,10,0.06,1.8006896826363739,0.12348072250914144,0.1393056204983656,0.9058722110396403,0.9314397263553551,-0.19457493313103882,0.6346178334594716,314,0.6560509554140127,0.07981489904780514,-0.06678723934236898,2.279470317448488,0.5719817009248988,1.7927839544596402,0,11034.025439027146,True,False,True,False
1.75,0.6,0.0,0.0,10,0.06,1.7712325845932817,0.1221385278681022,0.13859858007239156,0.9011521280640821,0.9232122607189883,-0.19459177837355748,0.6276654074954445,313,0.65814696485623,0.07981489904780514,-0.06632354469698411,2.3168594156112907,0.5674396850176284,1.7949630632515872,0,10974.79255268053,True,False,True,False
1.75,0.5,0.0,0.0,10,0.06,1.7407535978061897,0.12073638489170424,0.13797460200170797,0.8955313375270693,0.9146138852285363,-0.1943169250125902,0.6213374613862456,313,0.65814696485623,0.07981489904780512,-0.06632354469698414,2.316859415611289,0.563015059941861,1.794592130385489,0,10923.764305413715,True,False,True,False
1.75,0.8,0.0,0.2,10,0.06,1.7337204360038831,0.12041087116304672,0.1316970565477422,0.9294470075119847,0.9865249640208472,-0.16806964467816615,0.7164343769133299,314,0.6528662420382165,0.07907744161865939,-0.0693287291435878,2.1451947925414476,0.568734945966998,1.7939107725541636,13,10753.32524096361,True,False,True,False
1.75,0.7,0.0,0.2,10,0.06,1.7209216641232103,0.11981659896123631,0.13096238354342557,0.9298667586100573,0.9852973112979132,-0.16389718308412363,0.7310473353269162,314,0.6528662420382165,0.07907744161865939,-0.06932872914358781,2.145194792541447,0.5644495791611216,1.7929473397886393,13,10723.349220300268,True,False,True,False
1.75,0.4,0.0,0.0,10,0.06,1.7062753937859494,0.11913349409140328,0.1374308427742925,0.8881078038634701,0.9043628504407759,-0.19441300610177384,0.612785618000463,313,0.65814696485623,0.07981489904780514,-0.0663235446969841,2.316859415611291,0.5585493165124761,1.7946112125573306,0,10861.660876654736,True,False,True,False
1.75,0.6,0.0,0.2,10,0.06,1.7032386331010025,0.11899144869549505,0.13031146112090813,0.9281963015393607,0.9811882692920931,-0.16024013588293165,0.7425820506195021,314,0.6528662420382165,0.07907744161865937,-0.0693287291435878,2.145194792541447,0.5601603755666098,1.7927697857115794,13,10690.84247870332,True,False,True,False
1.75,0.5,0.0,0.2,10,0.06,1.684365281862028,0.11810545550211748,0.12968783477295037,0.9259198817783306,0.9764501783098387,-0.15884439385771326,0.7435292655522475,314,0.6528662420382165,0.07907744161865939,-0.06932872914358777,2.1451947925414485,0.5557476431952526,1.7937879062542161,13,10660.918924869933,True,False,True,False
1.75,0.4,0.0,0.2,10,0.06,1.672162137431875,0.1175296437128388,0.12909444460648714,0.9255846944565735,0.9747886635252075,-0.1574331645931039,0.7465367542893626,314,0.6528662420382165,0.07907744161865939,-0.06932872914358777,2.1451947925414485,0.5512900073274885,1.792325684624225,13,10639.64887532948,True,False,True,False
1.75,0.8,0.0,0.15,10,0.06,1.60333197107617,0.11423749566105612,0.1271073847343908,0.9148046808799577,0.9871621357949423,-0.16065119413716988,0.711090236674593,316,0.6518987341772152,0.0790664333260417,-0.07145976988070121,2.072073088034661,0.5568602680579624,1.7947295834249886,27,10024.151368548646,True,False,True,False
1.75,0.8,0.0,0.0,20,0.06,1.5976687097933402,0.1139631964017962,0.14008100607541688,0.8408769862744597,0.8585522653717873,-0.19472642064275747,0.5852477338494891,314,0.6337579617834395,0.08043537694515233,-0.06456150939518722,2.155900246478888,0.576486827853988,1.7931729737059596,0,10568.984050295952,True,False,True,False
1.75,0.7,0.0,0.15,10,0.06,1.5854066564146274,0.11336746341840498,0.12630432359432475,0.9136255319891166,0.9842758291994163,-0.1649757588931278,0.6871764929527923,314,0.6528662420382165,0.07907744161865937,-0.0720174363346207,2.0651058452193976,0.5522882878515738,1.7934531249363594,27,10003.467403707198,True,False,True,False
1.75,0.7,0.0,0.0,20,0.06,1.57809263550703,0.11301092871119112,0.13919171817764978,0.8392066454305015,0.8545225534972072,-0.19468714272342816,0.580474535350976,314,0.6337579617834395,0.08043537694515233,-0.06456150939518722,2.155900246478888,0.5719438940601665,1.7928080449218586,0,10528.392085729922,True,False,True,False
1.75,0.6,0.0,0.15,10,0.06,1.5676256401014448,0.1124991329860432,0.1256043333153021,0.9117984660754553,0.9798993647025616,-0.16966833724261438,0.6630531943339373,314,0.6528662420382165,0.07907744161865939,-0.07201743633462071,2.0651058452193976,0.5479252915247219,1.792425433416023,27,9975.270351791654,True,False,True,False
1.75,0.5,0.0,0.15,10,0.06,1.5505951367400215,0.11166243859733394,0.12507242617624723,0.9091229509200885,0.9744704448646068,-0.17393400226496641,0.641981654784384,314,0.6528662420382165,0.07907744161865939,-0.0720174363346207,2.065105845219398,0.5437354438629413,1.793564378940854,27,9956.670764455928,True,False,True,False
