symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,exit_reason,regime,is_satellite,ret_pct,trade_id
WSM,2021-08-25,2021-08-26,2021-10-08,99.82,85.51,109.0,-0.14335804448006395,-0.14507047174914833,10891.271271271271,scheduled,NORMAL,True,-14.507047174914833,WSM_2021-08-25
DRI,2021-09-23,2021-09-24,2021-11-05,160.04,154.48,210.0,-0.034741314671332235,-0.03667086678330422,33642.04204204204,scheduled,NORMAL,False,-3.6670866783304223,DRI_2021-09-23
GDDY,2021-11-03,2021-11-04,2021-12-17,79.87,71.74,32.0,-0.10179040941529993,-0.1035859303868788,2558.3983983983985,scheduled,NORMAL,True,-10.35859303868788,GDDY_2021-11-03
BLDR,2021-11-04,2021-11-05,2021-12-20,67.96,75.13,503.0,0.10550323719835197,0.10329333622719239,34218.0980980981,scheduled,NORMAL,True,10.32933362271924,BLDR_2021-11-04
NVDA,2021-11-18,2021-11-19,2022-01-04,32.24,29.29,320.0,-0.09150124069478915,-0.09331732971464035,10327.127127127129,scheduled,NORMAL,True,-9.331732971464035,NVDA_2021-11-18
WM,2022-07-27,2022-07-28,2022-09-09,160.09,173.4,112.0,0.08314073333749761,0.08097553501155574,17948.02802802803,scheduled,RISK_OFF,False,8.097553501155573,WM_2022-07-27
AVB,2022-07-28,2022-07-29,2022-09-12,212.93,214.22,172.0,0.006058329028319154,0.00404721842859157,36660.62062062062,scheduled,RISK_OFF,False,0.404721842859157,AVB_2022-07-28
FTV,2022-07-28,2022-07-29,2022-09-12,47.26,50.43,775.0,0.06707575116377495,0.0649426667371984,36663.16316316316,scheduled,RISK_OFF,False,6.49426667371984,FTV_2022-07-28
KIM,2022-07-28,2022-07-29,2022-09-12,21.93,22.3,1671.0,0.01687186502507987,0.01483913816689486,36681.71171171171,scheduled,RISK_OFF,False,1.483913816689486,KIM_2022-07-28
MA,2022-07-28,2022-07-29,2022-09-12,354.13,338.42,103.0,-0.044362239855420316,-0.04627255973794919,36511.9019019019,scheduled,RISK_OFF,True,-4.627255973794919,MA_2022-07-28
IR,2022-11-03,2022-11-04,2022-12-19,52.71,51.07,345.0,-0.031113640675393683,-0.03305044450768346,18203.153153153155,scheduled,RISK_OFF,False,-3.3050444507683463,IR_2022-11-03
JCI,2022-11-03,2022-11-04,2022-12-19,62.63,63.46,290.0,0.013252434935334456,0.011226943317898863,18180.880880880883,scheduled,RISK_OFF,False,1.1226943317898863,JCI_2022-11-03
MSI,2022-11-03,2022-11-04,2022-12-19,251.94,254.59,72.0,0.010518377391442346,0.008498351155036943,18157.837837837837,scheduled,RISK_OFF,False,0.8498351155036943,MSI_2022-11-03
PODD,2022-11-03,2022-11-04,2022-12-19,306.38,294.29,59.0,-0.03946080031333632,-0.04138091817350986,18094.514514514514,scheduled,RISK_OFF,True,-4.138091817350986,PODD_2022-11-03
CBOE,2022-11-04,2022-11-07,2022-12-20,130.16,123.18,141.0,-0.053626306084818554,-0.055518107098955105,18370.930930930932,scheduled,RISK_OFF,False,-5.551810709895511,CBOE_2022-11-04
AXON,2022-11-08,2022-11-09,2022-12-22,162.0,167.82,113.0,0.03592592592592592,0.033855109999999966,18324.324324324323,scheduled,RISK_OFF,False,3.3855109999999966,AXON_2022-11-08
ADBE,2023-03-15,2023-03-16,2023-04-28,344.57,377.56,50.0,0.09574251966218772,0.09355213036538279,17245.745745745746,scheduled,RISK_OFF,False,9.355213036538279,ADBE_2023-03-15
TPR,2023-05-11,2023-05-12,2023-06-27,40.43,43.4,733.0,0.07346030175612173,0.0713144546129112,29664.854854854853,scheduled,NORMAL,False,7.131445461291119,TPR_2023-05-11
SNPS,2023-05-17,2023-05-18,2023-07-03,387.5,434.01,12.0,0.12002580645161287,0.11778687486451611,4654.654654654654,scheduled,NORMAL,True,11.778687486451611,SNPS_2023-05-17
LEN,2023-06-15,2023-06-16,2023-08-01,120.77,127.0,331.0,0.051585658690072034,0.04948353895835078,40014.88488488488,scheduled,NORMAL,False,4.948353895835078,LEN_2023-06-15
PSA,2023-08-03,2023-08-04,2023-09-18,255.6300251971234,246.33885192871097,6.0,-0.036346173581322194,-0.03827251758033312,1535.3154666493897,scheduled,NORMAL,True,-3.827251758033312,PSA_2023-08-03
CEG,2023-11-06,2023-11-07,2023-12-20,124.44,117.01,42.0,-0.05970748955319827,-0.06158713428158147,5231.711711711711,scheduled,NORMAL,True,-6.158713428158147,CEG_2023-11-06
INTU,2023-11-28,2023-11-29,2024-01-12,582.99,611.8,44.0,0.04941765724969538,0.047319871352853315,25677.237237237237,scheduled,NORMAL,True,4.7319871352853315,INTU_2023-11-28
CCL,2023-12-21,2023-12-22,2024-02-07,19.14,15.72,2628.0,-0.17868338557993735,-0.18032519749216291,50350.270270270266,scheduled,NORMAL,False,-18.03251974921629,CCL_2023-12-21
IRM,2024-08-01,2024-08-02,2024-09-16,109.54,118.19,1.0,0.07896658754792751,0.07680973333941932,109.64964964964966,scheduled,NORMAL,False,7.680973333941932,IRM_2024-08-01
