symbol,reaction_date,trade_long,trade_long_tier
UNH,2020-01-15,True,D7_CORE
VRTX,2020-01-31,True,D7_CORE
CHTR,2020-01-31,True,D7_CORE
FIS,2020-02-13,True,D7_CORE
GDDY,2020-02-13,True,D7_CORE
TJX,2020-02-26,True,D7_CORE
NKE,2020-03-24,True,D7_CORE
WST,2020-04-23,True,D7_CORE
LLY,2020-04-23,True,D7_CORE
TMUS,2020-05-06,True,D7_CORE
KIM,2020-05-08,True,D7_CORE
SNPS,2020-05-20,True,D7_CORE
CAG,2020-06-30,True,D7_CORE
LMT,2020-07-21,True,D7_CORE
ARE,2020-07-27,True,D7_CORE
CSGP,2020-07-28,True,D7_CORE
HOLX,2020-07-29,True,D7_CORE
QCOM,2020-07-29,True,D7_CORE
EA,2020-07-30,True,D7_CORE
CHD,2020-07-31,True,D7_CORE
GEN,2020-08-06,True,D7_CORE
SNPS,2020-08-19,True,D7_CORE
SJM,2020-08-25,True,D7_CORE
WDAY,2020-08-27,True,D7_CORE
DRI,2020-09-24,True,D7_CORE
IQV,2020-10-20,True,D7_CORE
GNRC,2020-10-28,True,D7_CORE
CBRE,2020-10-29,True,D7_CORE
WAB,2020-10-29,True,D7_CORE
ABBV,2020-10-30,True,D7_CORE
PYPL,2020-11-03,True,D7_CORE
QCOM,2020-11-04,True,D7_CORE
AMAT,2020-11-12,True,D7_CORE
TGT,2020-11-18,True,D7_CORE
ON,2021-02-01,True,D7_CORE
GOOGL,2021-02-02,True,D7_CORE
GOOG,2021-02-02,True,D7_CORE
SNA,2021-02-04,True,D7_CORE
COR,2021-02-04,True,D7_CORE
LIN,2021-02-05,True,D7_CORE
J,2021-02-09,True,D7_CORE
AMAT,2021-02-18,True,D7_CORE
TTD,2021-02-18,True,D7_CORE
JNJ,2021-04-20,True,D7_CORE
ISRG,2021-04-20,True,D7_CORE
POOL,2021-04-22,True,D7_CORE
NUE,2021-04-22,True,D7_CORE
STX,2021-04-22,True,D7_CORE
GOOGL,2021-04-27,True,D7_CORE
MMC,2021-04-27,True,D7_CORE
MDLZ,2021-04-27,True,D7_CORE
EQIX,2021-04-29,True,D7_CORE
FTNT,2021-04-29,True,D7_CORE
HSIC,2021-05-04,True,D7_CORE
CRL,2021-05-04,True,D7_CORE
AMCR,2021-05-04,True,D7_CORE
VMC,2021-05-04,True,D7_CORE
MSI,2021-05-06,True,D7_CORE
FIS,2021-05-06,True,D7_CORE
MCK,2021-05-06,True,D7_CORE
CI,2021-05-07,True,D7_CORE
WMT,2021-05-18,True,D7_CORE
DELL,2021-05-28,True,D7_CORE
ACN,2021-06-24,True,D7_CORE
STT,2021-07-16,True,D7_CORE
CMG,2021-07-20,True,D7_CORE
MMC,2021-07-22,True,D7_CORE
FISV,2021-07-27,True,D7_CORE
PNR,2021-07-27,True,D7_CORE
BG,2021-07-28,True,D7_CORE
TDY,2021-07-28,True,D7_CORE
CTSH,2021-07-28,True,D7_CORE
BMY,2021-07-28,True,D7_CORE
LIN,2021-07-30,True,D7_CORE
WTW,2021-08-03,True,D7_CORE
ETN,2021-08-03,True,D7_CORE
MGM,2021-08-04,True,D7_CORE
