gross_normal,gross_riskoff,gross_stress,stop_loss,costs_bps,borrow_rate,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_trades,win_rate,avg_win,avg_loss,profit_factor,exposure_avg,max_leverage,stop_loss_triggered,margin_interest,mdd_pass,sharpe_pass,lev_pass,all_pass
1.5,0.7,0.0,0.0,20,0.06,1.3269265567528685,0.1001874386366366,0.12039066466481486,0.8535970877118497,0.8789400957080956,-0.1673415688652306,0.5987002471413607,314,0.6337579617834395,0.08043537694515233,-0.06456150939518722,2.155900246478888,0.49677409532348865,1.5239594509465142,0,5823.862273600832,True,False,True,False
1.5,0.5,0.0,0.0,20,0.06,1.2648708859873201,0.0968304573265657,0.11942474711421075,0.8339379159447159,0.8482300317387121,-0.16713800530405337,0.5793443397293997,313,0.6357827476038339,0.08043537694515233,-0.06409125382091428,2.190768857563069,0.4886348008682169,1.5235100085764768,0,5755.826968139064,True,False,True,False
1.5,0.7,0.0,0.0,30,0.06,1.1587476873158287,0.09089576273465805,0.12032374083821241,0.7834936950444059,0.7983656354670627,-0.16769494855841577,0.5420304160384111,314,0.6210191082802548,0.07989410622415283,-0.0642303987626234,2.038270290745418,0.4968228867694956,1.5251951887405795,0,5587.561368134421,True,False,True,False
1.5,0.7,0.0,0.12,20,0.06,1.1221317209494135,0.08878795053442334,0.10363597570874362,0.8727865817191658,0.9406312102957695,-0.15731585813207455,0.5643928818662478,316,0.6265822784810127,0.07982628730838803,-0.06967421962026503,1.9224586203858318,0.46404333336490994,1.5154799058350537,46,4910.162474679255,True,False,True,False
1.5,0.5,0.0,0.0,30,0.06,1.1050661366537748,0.08779452226177886,0.11935247959705665,0.7650385573556626,0.7700240934811723,-0.1674254393247705,0.5243798231371265,313,0.6230031948881789,0.07989410622415284,-0.06375830932339573,2.0707637526776392,0.4885633667347989,1.5226291441383089,0,5528.393451964012,True,False,True,False
1.25,0.7,0.0,0.0,20,0.06,1.1020839062651855,0.08762018677640526,0.10092199695889391,0.882944001028466,0.9257862742212177,-0.1392720885650083,0.6291295526562497,317,0.6309148264984227,0.08040647524574698,-0.06427544127106684,2.13840564162594,0.4198549026944767,1.2575524873343544,0,2220.550133718191,True,False,True,False
1.5,0.7,0.0,0.1,20,0.06,1.0797941999868592,0.08631018122028955,0.0997182024702514,0.8802121641159234,0.9554054152293578,-0.16272276248492004,0.5304124629047405,316,0.6139240506329114,0.07957396448347157,-0.06594960433344808,1.918671836166791,0.4485161754625951,1.513020500429141,58,4437.218346442191,True,False,True,False
1.5,0.5,0.0,0.12,20,0.06,1.0793619437267092,0.08628465389672213,0.10258227025994081,0.8582465086427146,0.9168435926123091,-0.16612514580899682,0.5193955043743247,314,0.6273885350318471,0.07985253730962814,-0.07016157391210018,1.9163276324007474,0.4556704157761569,1.515254324683344,46,4885.264018779654,True,False,True,False
1.25,0.5,0.0,0.0,20,0.06,1.0490919303146788,0.08448521494666683,0.0997566634730851,0.8631444316826022,0.8929499067385415,-0.1393484624339285,0.6062873853862948,314,0.6337579617834395,0.08043537694515233,-0.06456150939518722,2.155900246478888,0.41173932580155553,1.258413187254902,0,2208.6574311368595,True,False,True,False
1.5,0.5,0.0,0.1,20,0.06,1.0342113570057108,0.08359196061044027,0.09863008104504065,0.8634186225332819,0.9283022209903592,-0.17151078059062363,0.4873860425716597,314,0.6146496815286624,0.07959945115403831,-0.06639006579508357,1.91240078321495,0.440187281062307,1.513020500429141,58,4417.886040880529,True,False,True,False
1.25,0.7,0.0,0.0,30,0.06,0.9734888839974487,0.07988575141514453,0.100823590144915,0.8129021907917766,0.8452104173821401,-0.13958644699869863,0.5723030647516182,317,0.6182965299684543,0.07985639394097821,-0.06399078442636195,2.021449806249572,0.41974935307025457,1.2581486674236422,0,2146.3728373634776,True,False,True,False
1.5,0.7,0.0,0.12,30,0.06,0.9676927403655344,0.07952671452352345,0.10362002361550678,0.7904421524332541,0.8424011937655572,-0.16471273547604048,0.482820677427773,316,0.6139240506329114,0.07928206838582315,-0.06921979046471566,1.8213214016895074,0.4639664361415595,1.5155631718664813,46,4714.497640370423,True,False,True,False
1.25,0.7,0.0,0.12,20,0.06,0.9335058705381294,0.07738975620271593,0.08712488548198967,0.899266280391969,0.9823232637912033,-0.12647366096975768,0.61190413568578,317,0.6246056782334385,0.07982628730838803,-0.0697861949242354,1.9032447503286791,0.392285497275878,1.2550493227429946,46,1815.6190959883863,True,False,True,False
1.5,0.5,0.0,0.12,30,0.06,0.9318213800525603,0.07728359783452121,0.10257384015631743,0.7771679609557091,0.8207644223292934,-0.17297197467927772,0.44679837862647637,314,0.6146496815286624,0.07931719568978116,-0.06967093397324527,1.815882140231595,0.4555524692130356,1.515020338264988,46,4693.580958977219,True,False,True,False
1.5,0.7,0.0,0.1,30,0.06,0.9292821839006771,0.07712341975223902,0.0996891501142275,0.795224384636502,0.8534078324007138,-0.16991064865752883,0.45390574611770595,316,0.6012658227848101,0.07905902696523527,-0.0656942238602842,1.8147104271504721,0.4483976011459651,1.512871489241844,58,4268.640916771292,True,False,True,False
1.25,0.5,0.0,0.0,30,0.06,0.9262924275054689,0.07693457946920068,0.09967423216623073,0.7936606001245239,0.8145984773867769,-0.13992123296468703,0.5498420635602692,314,0.6210191082802548,0.07989410622415284,-0.06423039876262339,2.038270290745419,0.4115918653262377,1.258243399947126,0,2135.560589594318,True,False,True,False
1.25,0.7,0.0,0.1,20,0.06,0.894979243526413,0.07494098629348445,0.0839191583456634,0.9032186875912462,0.9926639824432588,-0.1327922285803142,0.5643476812964195,317,0.61198738170347,0.07957396448347158,-0.06625567584293224,1.8942815349010236,0.3791210388824221,1.2553794745326103,59,1583.145630340439,True,False,True,False
1.25,0.5,0.0,0.12,20,0.06,0.8940704768873564,0.0748826934293585,0.08603520552772624,0.8824729882189689,0.954042259808878,-0.1371822087638383,0.545863010255728,316,0.6265822784810127,0.07982628730838802,-0.06967421962026503,1.9224586203858316,0.3841908102416357,1.2550493227429946,46,1815.5412895711604,True,False,True,False
1.5,0.5,0.0,0.1,30,0.06,0.8915673374849695,0.07472200111260574,0.09863747697370105,0.7800112429158548,0.8288864863568115,-0.1783612660909106,0.4189362564544703,314,0.6019108280254777,0.07909371759086124,-0.0661027262437054,1.8091493012933042,0.4401697247545852,1.512871489241844,58,4259.845539513925,True,False,True,False
1.0,0.7,0.0,0.0,20,0.06,0.8799249303132182,0.07397211382606739,0.08173284252228236,0.9141792920884085,0.9760576994640543,-0.11197816702467982,0.6605940764306675,317,0.6309148264984227,0.080406475245747,-0.06427544127106685,2.1384056416259405,0.34206718330971464,1.0034063917367366,0,2.809259891414352,True,False,True,False
1.25,0.5,0.0,0.1,20,0.06,0.8602615831132623,0.07269619350355327,0.08277800981140106,0.8892601186375079,0.9674755053366516,-0.14133060878004272,0.5143697754581433,316,0.6139240506329114,0.07957396448347155,-0.06594960433344808,1.9186718361667907,0.3713145292955724,1.2553794745326103,58,1580.9983973122917,True,False,True,False
1.0,0.5,0.0,0.0,20,0.06,0.8322598655384137,0.07085840772730512,0.08011717474504368,0.8947360996993191,0.9410952721840165,-0.11198735595699474,0.6327357863017686,316,0.6329113924050633,0.08040647524574698,-0.06411402886139726,2.1622701978637795,0.3334963624442879,1.0034063917367366,0,2.754073344381665,True,False,True,False
1.25,0.7,0.0,0.12,30,0.06,0.8140960837673046,0.06965293118006555,0.08709025917753786,0.8168152104506582,0.8836160178434644,-0.13301129189320537,0.5236617898275119,317,0.61198738170347,0.07928206838582315,-0.06934675181788855,1.80320651056615,0.39212421617788784,1.2565967200030992,46,1759.0362868708407,True,False,True,False
1.0,0.7,0.0,0.0,30,0.06,0.7885826537641338,0.06794147313953292,0.08168131331391208,0.8457463177173817,0.8980056359022728,-0.11171314425578302,0.6081779686011819,317,0.6182965299684543,0.07985639394097824,-0.06399078442636198,2.0214498062495716,0.3421987479289981,1.003181779892522,0,3.3325359071339307,True,False,True,False
1.25,0.5,0.0,0.12,30,0.06,0.7834608507827852,0.06759529156600896,0.08606681481351386,0.8031199208682236,0.8610498052049552,-0.14280899227724142,0.4733265776064243,316,0.6139240506329114,0.07928206838582316,-0.06921979046471564,1.8213214016895083,0.3843362798657492,1.255417386945923,46,1761.0704186537266,True,False,True,False
1.25,0.7,0.0,0.1,30,0.06,0.7814461835963675,0.0674588789553443,0.08392224347356099,0.8199391829158106,0.8923936750162313,-0.13934863873857817,0.4841014563615436,317,0.5993690851735016,0.0790590269652353,-0.06600680398736856,1.7918953394382342,0.3789823487852804,1.2560505925385939,59,1533.1092727897717,True,False,True,False
1.25,0.5,0.0,0.1,30,0.06,0.7504790767079044,0.06534470144585325,0.08279682159335057,0.8060004208857094,0.8690021842481258,-0.14696721281672817,0.44462094771668387,316,0.6012658227848101,0.0790590269652353,-0.06569422386028419,1.814710427150473,0.3713864571791583,1.2560505925385939,58,1532.7129088865272,True,False,True,False
1.0,0.7,0.0,0.12,20,0.06,0.7478550113218208,0.06516403094772971,0.07070271428531966,0.9283399007611605,1.02704992703188,-0.09503445406068932,0.6856884862632635,317,0.6246056782334385,0.07982628730838805,-0.0697861949242354,1.9032447503286793,0.31971880527666197,1.0033661037677304,46,2.6334291454369048,True,False,True,False
1.0,0.5,0.0,0.0,30,0.06,0.7428220739796767,0.06481683206458011,0.0800394988100507,0.8248214174112902,0.8628836197240738,-0.11184858327394795,0.579505168213225,316,0.620253164556962,0.07985639394097824,-0.06381707398904014,2.0438434724537515,0.3331778125479801,1.003181779892522,0,3.523109990061717,True,False,True,False
1.0,0.7,0.0,0.1,20,0.06,0.7173574598736758,0.06304639542732526,0.06817085155433973,0.9310344090224112,1.0363975641440974,-0.10044649282420806,0.6276614907567066,317,0.61198738170347,0.07957396448347155,-0.06625567584293224,1.894281534901023,0.30910587153419045,1.0033380250171497,59,3.8137876844862553,True,False,True,False
1.0,0.5,0.0,0.12,20,0.06,0.7146873228862374,0.06285940680892299,0.06936711599795987,0.9136338333040331,1.0002532304348,-0.1045695213480629,0.601125509599432,316,0.6265822784810127,0.07982628730838805,-0.06967421962026504,1.9224586203858318,0.3116897785363796,1.0033661037677304,46,3.0361453772009,True,False,True,False
1.0,0.5,0.0,0.1,20,0.06,0.6843739709820553,0.06071826735017227,0.06678516458959463,0.916116768727275,1.0085538463280044,-0.10822307593456786,0.5610473258668308,316,0.6139240506329114,0.07957396448347155,-0.06594960433344807,1.9186718361667912,0.301229255271128,1.0033380250171497,58,3.8916895589616556,True,False,True,False
1.0,0.7,0.0,0.12,30,0.06,0.6603131605975041,0.05899429778796583,0.07065902192002789,0.8466388043427668,0.9300091333430829,-0.10074829061066584,0.5855612778180509,317,0.61198738170347,0.07928206838582312,-0.06934675181788855,1.8032065105661494,0.3196089830693091,1.003064803609444,46,3.514357465464872,True,False,True,False
1.0,0.7,0.0,0.1,30,0.06,0.6344665141167452,0.05711750769565738,0.06813451242279361,0.8493915960529241,0.9390223153850722,-0.10611912801155224,0.5382395121965147,317,0.5993690851735016,0.07905902696523529,-0.06600680398736856,1.791895339438234,0.3089649350969972,1.0031351667075141,59,3.231373792478082,True,False,True,False
1.0,0.5,0.0,0.12,30,0.06,0.6337656993977996,0.0570662541965834,0.06931985019547028,0.835349139236349,0.9084852202868344,-0.10920825816730557,0.5225452283027778,316,0.6139240506329114,0.07928206838582315,-0.06921979046471566,1.8213214016895074,0.3115347018869199,1.003064803609444,46,3.00967079568029,True,False,True,False
1.0,0.5,0.0,0.1,30,0.06,0.6072263334510366,0.0551108211082465,0.06679401319657484,0.8366323666848184,0.9151032717159475,-0.1128918606483342,0.4881735564614392,316,0.6012658227848101,0.07905902696523529,-0.0656942238602842,1.8147104271504724,0.3011809462096274,1.0031351667075141,58,3.2752970443398186,True,False,True,False
