cost_bps,total_return,cagr,sharpe,sortino,max_drawdown,calmar,win_rate,n_trades,exposure_avg
0,0.8128412031418548,0.06921606000904257,0.6761415482020168,0.9953920065188208,-0.17921637376017463,0.3862150458510378,0.6020671834625323,387,0.43124956219846095
10,0.7001910631627064,0.061526876733270175,0.6095065784038741,0.8954387126209462,-0.17938470961181785,0.3429884122588383,0.5968992248062015,387,0.43115300034603693
20,0.5943688621283734,0.053880188515612604,0.5426193766721681,0.7955440334404829,-0.1795527189169409,0.3000800480249869,0.5736434108527132,387,0.43104234282670095
30,0.49508106208825287,0.04628448002231056,0.47554232618619835,0.6958217609032912,-0.17972040098852915,0.2575360380219979,0.5555555555555556,387,0.43092981471056085
50,0.3144956550185538,0.031241554670376148,0.3408622660101296,0.4968726236525356,-0.1800547806773476,0.17351138666159616,0.5297157622739018,387,0.4306922434781178
