date,gross_exposure
2017-01-26,0.10322866906206694
2017-01-27,0.1029436637859791
2017-01-30,0.10264607376972501
2017-01-31,0.10275769316107349
2017-02-01,0.208223332893698
2017-02-02,0.2079477166572876
2017-02-03,0.20925945179816677
2017-02-06,0.2101747060852298
2017-02-07,0.21118946166051597
2017-02-08,0.2106230403697943
2017-02-09,0.2113209833710113
2017-02-10,0.21092416350531434
2017-02-13,0.2120263972874957
2017-02-14,0.21313142061118615
2017-02-15,0.2136106141982995
2017-02-16,0.3154980429951496
2017-02-17,0.31553156656052
2017-02-21,0.3170163170631801
2017-02-22,0.31710510640169937
2017-02-23,0.31573829076904203
2017-02-24,0.3167398302403976
2017-02-27,0.31752811558227967
2017-02-28,0.31646624509503996
2017-03-01,0.3203441998180028
2017-03-02,0.3181212474685835
2017-03-03,0.3185955378902232
2017-03-06,0.31680649530458727
2017-03-07,0.31740691241423247
2017-03-08,0.31756177925344636
2017-03-09,0.3171806507286037
2017-03-10,0.21610098613938175
2017-03-13,0.2164447941001732
2017-03-14,0.21481634712626374
2017-03-15,0.21518310377721445
2017-03-16,0.1018134459781555
2017-03-17,0.10230427481060501
2017-03-20,0.10279456749304709
2017-03-21,0.10161954997176041
2017-03-22,0.10221389928463075
2017-03-23,0.10240753884862984
2017-03-24,0.10231718411472214
2017-03-27,0.10258819376041724
2017-03-28,0.10336160614787404
2017-03-29,0.10373494445729291
2017-03-30,0.10368346800294667
2017-03-31,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.10560287455212114
2017-04-21,0.10600922173723291
2017-04-24,0.2117169805230099
2017-04-25,0.4213626565989995
2017-04-26,0.42175988060707026
2017-04-27,0.4225736044425145
2017-04-28,0.6275496584947236
2017-05-01,0.6293499740721904
2017-05-02,0.6289105710746318
2017-05-03,0.8354339701939159
2017-05-04,0.8368069310599654
2017-05-05,0.9387544259790133
2017-05-08,1.0423839453657466
2017-05-09,1.0421725509619348
2017-05-10,1.2486483340178889
2017-05-11,1.248529670423945
2017-05-12,1.2492338880989575
2017-05-15,1.247306698905677
2017-05-16,1.2466888972060834
2017-05-17,1.2538084183843567
2017-05-18,1.2510587734295668
2017-05-19,1.247526561039821
2017-05-22,1.2452361663526348
2017-05-23,1.2440615389585339
2017-05-24,1.2432757416879372
2017-05-25,1.2419631653184857
2017-05-26,1.2417994124236535
2017-05-30,1.241119945134787
2017-05-31,1.2399078745793484
2017-06-01,1.2375570287259932
2017-06-02,1.123540633118437
2017-06-05,1.1240378297356128
2017-06-06,1.0250538423145046
2017-06-07,0.8278933774859076
2017-06-08,0.8278684662262729
2017-06-09,0.8259758785519419
2017-06-12,0.6190467789551499
2017-06-13,0.6208817339933294
2017-06-14,0.620105444209402
2017-06-15,0.4090726576057997
2017-06-16,0.4096884533110854
2017-06-19,0.3077126103774868
2017-06-20,0.1997751589825039
2017-06-21,0.20022414040447464
2017-06-22,0.0
2017-06-23,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-03,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.10356011304007857
2017-07-28,0.10366410745715525
2017-07-31,0.1041221658461848
2017-08-01,0.10295878359590857
2017-08-02,0.20636415770200983
2017-08-03,0.3121108543022865
2017-08-04,0.4140151356048593
2017-08-07,0.4151370285944941
2017-08-08,0.5172688349164556
2017-08-09,0.5171460056177228
2017-08-10,0.5151794121555747
2017-08-11,0.5155498974578806
2017-08-14,0.5178011564259832
2017-08-15,0.6213243314873114
2017-08-16,0.6219203767157458
2017-08-17,0.6186406328211015
2017-08-18,0.723933727799318
2017-08-21,0.7230694649427704
2017-08-22,0.7254099264843895
2017-08-23,0.7246924215785837
2017-08-24,0.7246076192009506
2017-08-25,0.7239437116932508
2017-08-28,0.724384965567754
2017-08-29,0.7253103906462871
2017-08-30,0.7271946368786294
2017-08-31,0.7284617195684565
2017-09-01,0.8332048938158784
2017-09-05,0.8320777883757701
2017-09-06,0.8315284944462394
2017-09-07,0.8317741278153258
2017-09-08,0.7297798418908236
2017-09-11,0.7324042597255883
2017-09-12,0.7321665817004338
2017-09-13,0.7322626625419578
2017-09-14,0.6290723924879602
2017-09-15,0.5241877654351266
2017-09-18,0.42017661126067
2017-09-19,0.41981024307483983
2017-09-20,0.3165407181614653
2017-09-21,0.3155053093919896
2017-09-22,0.31754668349669585
2017-09-25,0.31071181244107093
2017-09-26,0.30991053658863094
2017-09-27,0.21113302137237544
2017-09-28,0.2147631757172864
2017-09-29,0.21926435561538513
2017-10-02,0.1017664492337161
2017-10-03,0.10161470569604786
2017-10-04,0.10142495416065973
2017-10-05,0.1023350312449507
2017-10-06,0.20674326009451396
2017-10-09,0.20545789312455115
2017-10-10,0.20767553539382688
2017-10-11,0.20672181844783688
2017-10-12,0.20618778599419357
2017-10-13,0.20754205511209015
2017-10-16,0.1033102345326992
2017-10-17,0.10471223368341732
2017-10-18,0.20916191206064108
2017-10-19,0.2086991713390721
2017-10-20,0.20834877672257335
2017-10-23,0.21046895628034973
2017-10-24,0.31572738913375475
2017-10-25,0.4186103849936047
2017-10-26,0.4195243390487983
2017-10-27,0.7336779806241405
2017-10-30,0.8356024710907006
2017-10-31,0.8369094372356893
2017-11-01,0.9387028932749302
2017-11-02,1.0416985371209577
2017-11-03,1.2460186225516738
2017-11-06,1.2458945460008928
