Year,Return,Volatility,MDD,Trading Days
2017,0.17228085713748142,0.06714150482745775,-0.032208705147918605,234
2018,0.06333643241115272,0.12115129287223599,-0.09036665907292514,251
2019,0.12676339788243896,0.08730156795657314,-0.04025128122462299,252
2020,-0.07528903550064947,0.046066498062398625,-0.10110472860487905,253
2021,0.21106716408781234,0.10604196718019535,-0.06690648600237857,252
2022,-0.03397073852048227,0.058495871799182274,-0.07072766894063402,251
2023,0.17500589148193968,0.10226516420198427,-0.10239011207504185,250
2024,0.09602695110073456,0.0918534105844615,-0.10278442696922628,252
2025,-0.020597422745943228,0.06638100324648118,-0.07607147105045475,234
