date,nav
2017-01-26,99901.89831663328
2017-01-27,99870.15831663327
2017-01-30,99837.03831663328
2017-01-31,99849.45831663327
2017-02-01,100006.51565130262
2017-02-02,99971.71565130261
2017-02-03,100137.55565130261
2017-02-06,100253.59565130262
2017-02-07,100382.5656513026
2017-02-08,100310.5356513026
2017-02-09,100399.30565130262
2017-02-10,100348.8156513026
2017-02-13,100489.18565130261
2017-02-14,100630.30565130261
2017-02-15,100691.62565130262
2017-02-16,100454.25226452906
2017-02-17,100459.17226452907
2017-02-21,100677.56226452906
2017-02-22,100690.65226452907
2017-02-23,100489.52226452906
2017-02-24,100636.82226452907
2017-02-27,100753.06226452906
2017-02-28,100596.54226452907
2017-03-01,101170.52226452906
2017-03-02,100840.70226452907
2017-03-03,100910.89226452907
2017-03-06,100646.64226452907
2017-03-07,100735.17226452907
2017-03-08,100758.03226452906
2017-03-09,100701.79226452907
2017-03-10,100825.12990452907
2017-03-13,100869.36990452907
2017-03-14,100660.16990452906
2017-03-15,100707.20990452907
2017-03-16,100774.50872452906
2017-03-17,100829.60872452907
2017-03-20,100884.70872452906
2017-03-21,100752.75872452906
2017-03-22,100819.45872452906
2017-03-23,100841.20872452906
2017-03-24,100831.05872452907
2017-03-27,100861.50872452906
2017-03-28,100948.50872452906
2017-03-29,100990.55872452907
2017-03-30,100984.75872452906
2017-03-31,100952.24102452907
2017-04-03,100952.24102452907
2017-04-04,100952.24102452907
2017-04-05,100952.24102452907
2017-04-06,100952.24102452907
2017-04-07,100952.24102452907
2017-04-10,100952.24102452907
2017-04-11,100952.24102452907
2017-04-12,100952.24102452907
2017-04-13,100952.24102452907
2017-04-17,100952.24102452907
2017-04-18,100952.24102452907
2017-04-19,100952.24102452907
2017-04-20,101115.05056360722
2017-04-21,101161.01056360723
2017-04-24,101448.87739727455
2017-04-25,101860.73741521988
2017-04-26,101930.71099371108
2017-04-27,102074.35432165298
2017-04-28,101838.63749231561
2017-05-01,102333.2865484069
2017-05-02,102212.11480554802
2017-05-03,101833.17290912996
2017-05-04,102689.90636097323
2017-05-05,102688.93699819983
2017-05-08,102317.02045547824
2017-05-09,102854.37872749889
2017-05-10,102610.03807487364
2017-05-11,102683.47314491437
2017-05-12,102417.71734018796
2017-05-15,103240.40402796477
2017-05-16,103523.59940418936
2017-05-17,100643.63995411298
2017-05-18,101770.13406575765
2017-05-19,103246.9740788666
2017-05-22,104236.06624309505
2017-05-23,104762.67456414056
2017-05-24,105126.08922537405
2017-05-25,105721.53199585967
2017-05-26,105818.31822650964
2017-05-30,106141.77625773805
2017-05-31,106703.42880617957
2017-06-01,107785.01461660604
2017-06-02,109083.04552013885
2017-06-05,108671.66211378883
2017-06-06,107727.78296190243
2017-06-07,108426.99449226499
2017-06-08,108411.30269569514
2017-06-09,107232.28283607602
2017-06-12,106460.1980268939
2017-06-13,106975.4717402728
2017-06-14,106756.87433060483
