date,exposure
2017-02-01,0.08393564237038015
2017-02-02,0.08379230130470507
2017-02-03,0.2538141368568573
2017-02-06,0.2552616544535237
2017-02-07,0.25514596517285437
2017-02-08,0.2548880837096081
2017-02-09,0.25617025586983316
2017-02-10,0.2560274287394663
2017-02-13,0.2561625926485225
2017-02-14,0.2568609178412021
2017-02-15,0.25761298602826155
2017-02-16,0.2578214526218116
2017-02-17,0.3415704875928581
2017-02-21,0.3434775276556959
2017-02-22,0.34351378009980915
2017-02-23,0.3432616749006513
2017-02-24,0.3443135452042943
2017-02-27,0.3443373301550079
2017-02-28,0.3440487647450223
2017-03-01,0.3475730635519088
2017-03-02,0.3461859088185178
2017-03-03,0.3466396896009793
2017-03-06,0.3456084377968123
2017-03-07,0.3460712270759105
2017-03-08,0.3459274494863803
2017-03-09,0.3469965709007669
2017-03-10,0.43241636378593723
2017-03-13,0.4324247659255213
2017-03-14,0.431130786605442
2017-03-15,0.4336718196767738
2017-03-16,0.3432158137272205
2017-03-17,0.4257154086764161
2017-03-20,0.25146494534696456
2017-03-21,0.24882766319726007
2017-03-22,0.25038724983395017
2017-03-23,0.25016200022229224
2017-03-24,0.2506914955221685
2017-03-27,0.2507805623640576
2017-03-28,0.2518283051115393
2017-03-29,0.2519938427364743
2017-03-30,0.25207523498725837
2017-03-31,0.2521469855048029
2017-04-03,0.1689238563660465
2017-04-04,0.16904916217398977
2017-04-05,0.16898894868482534
2017-04-06,0.16995982012076724
2017-04-07,0.1698817609622961
2017-04-10,0.17037408137531457
2017-04-11,0.17027700703632648
2017-04-12,0.16925156807472974
2017-04-13,0.16879810679377263
2017-04-17,0.16942469084191136
2017-04-18,0.1692504326052932
2017-04-19,0.16861456915858355
2017-04-20,0.1690738293316953
2017-04-21,0.1693209880239542
2017-04-24,0.0855926716244394
2017-04-25,0.248932385128464
2017-04-26,0.24889028191034177
2017-04-27,0.4147363526267509
2017-04-28,0.663613891568092
2017-05-01,0.5773272047015354
2017-05-02,0.5785703873805632
2017-05-03,0.660315800958179
2017-05-04,0.8273575095999806
2017-05-05,1.158237291059583
2017-05-08,1.1593346678075083
2017-05-09,1.1596465590426306
2017-05-10,1.243273561661141
2017-05-11,1.2439839342169368
2017-05-12,1.244522957740638
2017-05-15,1.2421599620885917
2017-05-16,1.2432500083112143
2017-05-17,1.2470467217062744
