,gross_exposure
2017-01-10,0.08106251431188458
2017-01-11,0.08139716363712035
2017-01-12,0.08079461924494512
2017-01-13,0.08092858630022902
2017-01-17,0.08121552711000103
2017-01-18,0.0817697716021134
2017-01-19,0.08250454663548973
2017-01-20,0.08220886957606503
2017-01-23,0.08155006501950585
2017-01-24,0.08216116187921695
2017-01-25,0.16587856198025813
2017-01-26,0.2475477342048993
2017-01-27,0.24702372994553953
2017-01-30,0.24664523574963493
2017-01-31,0.24466940500405868
2017-02-01,0.3283821441326394
2017-02-02,0.328326629616552
2017-02-03,0.3305538900313711
2017-02-06,0.3301591214738145
2017-02-07,0.33108589258581944
2017-02-08,0.3318028241951712
2017-02-09,0.3323790850750894
2017-02-10,0.3332630871550294
2017-02-13,0.33311924040347834
2017-02-14,0.3339961440722714
2017-02-15,0.3353096231485839
2017-02-16,0.41633675188889213
2017-02-17,0.4166224040731805
2017-02-21,0.41882207930342724
2017-02-22,0.4189482300791499
2017-02-23,0.42333193748892955
2017-02-24,0.42478200962821594
2017-02-27,0.426289252478119
2017-02-28,0.42472314855120563
2017-03-01,0.4289482333707149
2017-03-02,0.4264642787182236
2017-03-03,0.4269275342894747
2017-03-06,0.42537087549785196
2017-03-07,0.4263593467514655
2017-03-08,0.42729269601280856
2017-03-09,0.3390148162617828
2017-03-10,0.25859742060601126
2017-03-13,0.2592264970728455
2017-03-14,0.25792436257079443
2017-03-15,0.2585647019426092
2017-03-16,0.16921883099331064
2017-03-17,0.16920831896803404
2017-03-20,0.1695704889925823
2017-03-21,0.16699861114358988
2017-03-22,0.1677720149995379
2017-03-23,0.16783238968814482
2017-03-24,0.16784855151193154
2017-03-27,0.1679247472037725
2017-03-28,0.16874712827839755
2017-03-29,0.169023856660972
2017-03-30,0.17059906638267222
2017-03-31,0.08891411359641099
2017-04-03,0.08759832153373961
2017-04-04,0.08818862903429427
2017-04-05,0.08805247203275482
2017-04-06,0.0
2017-04-07,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.08466958211856172
2017-04-21,0.08500303582270796
2017-04-24,0.1703720335978262
2017-04-25,0.33941371512576285
2017-04-26,0.3397805165016603
2017-04-27,0.42444379651275027
2017-04-28,0.5896744203342325
2017-05-01,0.5920795334478399
2017-05-02,0.5831894406687199
2017-05-03,0.8327329817755774
2017-05-04,0.9164734592197219
2017-05-05,0.9998076584363678
2017-05-08,0.999806714978502
2017-05-09,0.9998080324244758
2017-05-10,0.9998085410262962
2017-05-11,0.999808731241933
2017-05-12,0.9998085881897397
2017-05-15,0.9998093228957445
2017-05-16,0.9998112256591779
2017-05-17,0.9998051237225339
2017-05-18,0.9998064104873862
2017-05-19,0.9998091129460462
2017-05-22,0.9998097840515037
2017-05-23,0.9998098892077808
2017-05-24,0.9998102201329774
2017-05-25,0.9998115336753376
2017-05-26,0.9998117147860794
2017-05-30,0.9998121406720553
2017-05-31,0.9998129930470346
2017-06-01,0.9998142654433332
2017-06-02,0.9071115488195334
2017-06-05,0.9070796126008834
2017-06-06,0.8243482900805755
2017-06-07,0.6616769019506675
2017-06-08,0.6627794108335321
2017-06-09,0.5851255042410959
2017-06-12,0.4139572021840403
2017-06-13,0.4161065875697387
2017-06-14,0.4147219051322469
2017-06-15,0.16530497852782966
2017-06-16,0.08693841041659052
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-03,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.08290056552790977
2017-07-27,0.41440236825161314
2017-07-28,0.41487665821191144
2017-07-31,0.4142720379507793
2017-08-01,0.4147593451702911
2017-08-02,0.5809508927374721
2017-08-03,0.6649198232526831
2017-08-04,0.8314253091593615
2017-08-07,0.8319170401791314
2017-08-08,0.9149656891845515
2017-08-09,0.9150496035885416
2017-08-10,0.9142132891925496
2017-08-11,0.9143122911827545
2017-08-14,0.9151316823937015
2017-08-15,0.9984628702229899
2017-08-16,0.9984628404712056
2017-08-17,0.9984395280242593
2017-08-18,0.9984372618031081
2017-08-21,0.9984367642177158
2017-08-22,0.9984539886415582
2017-08-23,0.998448304116897
2017-08-24,0.9984497317517861
2017-08-25,0.9984486770577689
2017-08-28,0.9984483962069506
2017-08-29,0.9984530493905384
2017-08-30,0.9984633608025671
2017-08-31,0.998478356783747
2017-09-01,0.9984832031214564
2017-09-05,0.9984737153175157
2017-09-06,0.9984697757964213
2017-09-07,0.9163080846774323
2017-09-08,0.5881354650428215
2017-09-11,0.59053046960629
2017-09-12,0.5907559007991806
2017-09-13,0.5899467183971551
2017-09-14,0.4195499063205558
2017-09-15,0.3356848638907929
2017-09-18,0.16911433172391202
2017-09-19,0.16862650803824955
2017-09-20,0.08681177109019818
2017-09-21,0.0867940476325422
2017-09-22,0.08782087224848174
2017-09-25,0.08400290586580027
2017-09-26,0.08293171605265162
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.08363618993786298
