quota_pct,min_quota,w_direction,w_positives,w_eps,w_day_ret,coverage_std,coverage_cv,n_trades,coverage_pct,win_rate_pct,wins,losses,avg_return,std_return,winners_avg,losers_avg,ci_lower,ci_upper
3,2,8,2,3,2,0.28774195032954536,11.969476258385313,48,2.4279210925644916,72.91666666666666,35,13,9.143227083333334,18.83039158430294,18.697991428571427,-16.581138461538462,59.00303501775939,83.43404237254354
3,2,8,2,3,3,0.28774195032954536,11.969476258385313,48,2.4279210925644916,72.91666666666666,35,13,9.143227083333334,18.83039158430294,18.697991428571427,-16.581138461538462,59.00303501775939,83.43404237254354
3,2,8,2,3,4,0.28774195032954536,11.969476258385313,48,2.4279210925644916,72.91666666666666,35,13,9.143227083333334,18.83039158430294,18.697991428571427,-16.581138461538462,59.00303501775939,83.43404237254354
3,2,8,2,5,2,0.28774195032954536,11.969476258385313,48,2.4279210925644916,75.0,36,12,9.802212500000001,18.64083950536957,18.753377777777775,-17.051283333333334,61.215627190492036,85.07936632620209
3,2,8,2,5,3,0.28774195032954536,11.969476258385313,48,2.4279210925644916,72.91666666666666,35,13,9.237529166666667,18.855313542216724,18.82732,-16.581138461538462,59.00303501775939,83.43404237254354
3,2,8,2,5,4,0.28774195032954536,11.969476258385313,48,2.4279210925644916,72.91666666666666,35,13,9.213645833333333,18.846858771361394,18.794565714285714,-16.581138461538462,59.00303501775939,83.43404237254354
3,2,8,2,7,2,0.28774195032954536,11.969476258385313,48,2.4279210925644916,72.91666666666666,35,13,9.248466666666667,18.75864404988683,18.788205714285713,-16.435446153846154,59.00303501775939,83.43404237254354
3,2,8,2,7,3,0.28774195032954536,11.969476258385313,48,2.4279210925644916,75.0,36,12,9.802172916666668,18.55078315678618,18.709566666666667,-16.92000833333333,61.215627190492036,85.07936632620209
3,2,8,2,7,4,0.28774195032954536,11.969476258385313,48,2.4279210925644916,75.0,36,12,10.196306250000001,18.325932489088814,18.93176944444444,-16.01008333333333,61.215627190492036,85.07936632620209
3,2,8,3,3,2,0.28774195032954536,11.969476258385313,48,2.4279210925644916,75.0,36,12,9.597764583333333,18.256234486013085,18.279502777777775,-16.44745,61.215627190492036,85.07936632620209
3,2,8,3,3,3,0.28774195032954536,11.969476258385313,48,2.4279210925644916,75.0,36,12,9.686827083333334,18.28324482247647,18.398252777777778,-16.44745,61.215627190492036,85.07936632620209
3,2,8,3,3,4,0.28774195032954536,11.969476258385313,48,2.4279210925644916,75.0,36,12,9.686827083333334,18.28324482247647,18.398252777777778,-16.44745,61.215627190492036,85.07936632620209
3,2,8,3,5,2,0.28774195032954536,11.969476258385313,48,2.4279210925644916,72.91666666666666,35,13,8.592883333333335,18.346176253775877,17.943234285714286,-16.581138461538462,59.00303501775939,83.43404237254354
3,2,8,3,5,3,0.28774195032954536,11.969476258385313,48,2.4279210925644916,72.91666666666666,35,13,8.52548125,18.32575561565019,17.85079714285714,-16.581138461538462,59.00303501775939,83.43404237254354
3,2,8,3,5,4,0.28774195032954536,11.969476258385313,48,2.4279210925644916,72.91666666666666,35,13,8.614543750000001,18.357977198574037,17.97294,-16.581138461538462,59.00303501775939,83.43404237254354
