symbol,year,quarter,quarter_str,transcript_id,transcript_date,company_name,sector,industry,transcript_length,return_30d
ABBV,2019,1,2019Q1,13519,2019-04-25,AbbVie,Healthcare,Drug Manufacturers - General,59721,-1.5762
ADP,2019,1,2019Q1,22251,2018-10-31,Automatic Data Processing,Industrials,Staffing & Employment Services,65787,-1.7776
AIZ,2019,1,2019Q1,14315,2019-05-07,Assurant,Financial Services,Insurance - Specialty,31963,14.5275
AJG,2019,1,2019Q1,12997,2019-04-26,Arthur J. Gallagher & Co.,Financial Services,Insurance - Brokers,25252,5.1714
AKAM,2019,1,2019Q1,14303,2019-04-30,Akamai Technologies,Technology,Software - Infrastructure,58425,-1.0867
ALB,2019,1,2019Q1,12949,2019-05-09,Albemarle Corporation,Basic Materials,Chemicals - Specialty,51468,-5.8418
ALLE,2019,1,2019Q1,13422,2019-04-26,Allegion,Industrials,Security & Protection Services,38684,9.2999
APD,2019,1,2019Q1,17545,2019-01-25,Air Products,Basic Materials,Chemicals - Specialty,59132,17.5399
AVB,2019,1,2019Q1,14363,2019-04-24,AvalonBay Communities,Real Estate,REIT - Residential,52160,6.3589
AVGO,2019,1,2019Q1,13350,2019-03-14,Broadcom,Technology,Semiconductors,35260,16.5921
AWK,2019,1,2019Q1,13093,2019-05-02,American Water Works,Utilities,Regulated Water,40236,10.4295
AZO,2019,1,2019Q1,17054,2018-12-04,AutoZone,Consumer Cyclical,Specialty Retail,51275,2.4088
BAX,2019,1,2019Q1,22515,2019-04-25,Baxter International,Healthcare,Medical - Instruments & Supplies,52524,1.7042
BEN,2019,1,2019Q1,16882,2019-01-30,Franklin Resources,Financial Services,Asset Management,45205,4.2001
BG,2019,1,2019Q1,11823,2019-05-09,Bunge Global,Consumer Defensive,Agricultural Farm Products,43629,7.6909
BIIB,2019,1,2019Q1,14641,2019-04-24,Biogen,Healthcare,Drug Manufacturers - General,64571,-2.5455
BXP,2019,1,2019Q1,14434,2019-05-01,"BXP, Inc.",Real Estate,REIT - Office,67915,-1.7585
C,2019,1,2019Q1,17386,2019-04-15,Citigroup,Financial Services,Banks - Diversified,60521,-5.5028
CDNS,2019,1,2019Q1,12638,2019-04-22,Cadence Design Systems,Technology,Software - Application,33951,0.4516
CDW,2019,1,2019Q1,12355,2019-05-01,CDW,Technology,Information Technology Services,51568,0.483
CINF,2019,1,2019Q1,16918,2019-04-25,Cincinnati Financial,Financial Services,Insurance - Property & Casualty,32293,17.0487
CMCSA,2019,1,2019Q1,14725,2019-04-25,Comcast,Communication Services,Telecommunications Services,52829,-0.8841
CNC,2019,1,2019Q1,13057,2019-04-23,Centene Corporation,Healthcare,Medical - Healthcare Plans,66258,12.0424
COP,2019,1,2019Q1,22721,2019-04-30,ConocoPhillips,Energy,Oil & Gas Exploration & Production,41814,-6.5443
CSX,2019,1,2019Q1,22745,2019-04-16,CSX Corporation,Industrials,Railroads,54876,-1.8972
CTRA,2019,1,2019Q1,14195,2019-04-26,Coterra,Energy,Oil & Gas Exploration & Production,40876,-7.0358
CTSH,2019,1,2019Q1,14375,2019-05-03,Cognizant,Technology,Information Technology Services,51406,7.5443
DGX,2019,1,2019Q1,14713,2019-04-23,Quest Diagnostics,Healthcare,Medical - Diagnostics & Research,56676,14.757
DLTR,2019,1,2019Q1,13690,2018-05-31,Dollar Tree,Consumer Defensive,Discount Stores,54215,-9.9637
DPZ,2019,1,2019Q1,12223,2019-04-24,Domino's,Consumer Cyclical,Restaurants,43320,6.2176
DTE,2019,1,2019Q1,22793,2019-04-24,DTE Energy,Utilities,Regulated Electric,53633,5.221
DUK,2019,1,2019Q1,22395,2019-05-09,Duke Energy,Utilities,Regulated Electric,42775,1.9704
ECL,2019,1,2019Q1,17362,2019-04-30,Ecolab,Basic Materials,Chemicals - Specialty,55265,7.9768
EIX,2019,1,2019Q1,22805,2019-04-30,Edison International,Utilities,Regulated Electric,55866,-6.1
EMR,2019,1,2019Q1,22600,2019-02-05,Emerson Electric,Industrials,Industrial - Machinery,67789,0.9313
EQR,2019,1,2019Q1,14857,2019-05-01,Equity Residential,Real Estate,REIT - Residential,54745,1.9759
ESS,2019,1,2019Q1,13374,2019-04-25,Essex Property Trust,Real Estate,REIT - Residential,65037,6.4631
EVRG,2019,1,2019Q1,12583,2019-05-12,Evergy,Utilities,Regulated Electric,30050,5.5403
FAST,2019,1,2019Q1,14135,2019-04-11,Fastenal,Industrials,Industrial - Distribution,57442,-5.3374
FCX,2019,1,2019Q1,13751,2019-04-25,Freeport-McMoRan,Basic Materials,Copper,73545,-23.785
