date,nav
2017-01-26,99859.58425425425
2017-01-27,99808.75425425425
2017-01-30,99755.71425425426
2017-01-31,99775.60425425426
2017-02-01,100043.53714714714
2017-02-02,99987.84714714714
2017-02-03,100253.33714714715
2017-02-06,100438.96714714715
2017-02-07,100645.29714714715
2017-02-08,100529.85714714715
2017-02-09,100671.95714714714
2017-02-10,100591.14714714715
2017-02-13,100815.74714714714
2017-02-14,101041.44714714715
2017-02-15,101139.56714714714
2017-02-16,100775.25732732733
2017-02-17,100782.95732732733
2017-02-21,101132.90732732732
2017-02-22,101154.01732732732
2017-02-23,100831.98732732733
2017-02-24,101068.51732732732
2017-02-27,101254.78732732733
2017-02-28,101003.46732732732
2017-03-01,101922.82732732732
2017-03-02,101393.80732732732
2017-03-03,101506.08732732733
2017-03-06,101082.75732732733
2017-03-07,101224.76732732732
2017-03-08,101261.67732732733
2017-03-09,101171.69732732732
2017-03-10,101385.97851732733
2017-03-13,101457.01851732732
2017-03-14,101120.97851732733
2017-03-15,101195.65851732732
2017-03-16,101322.24460732733
2017-03-17,101410.78460732732
2017-03-20,101499.32460732733
2017-03-21,101287.29460732733
2017-03-22,101394.47460732733
2017-03-23,101429.42460732732
2017-03-24,101413.11460732733
2017-03-27,101462.04460732733
2017-03-28,101601.84460732734
2017-03-29,101669.41460732733
2017-03-30,101660.09460732734
2017-03-31,101624.64831732733
2017-04-03,101624.64831732733
2017-04-04,101624.64831732733
2017-04-05,101624.64831732733
2017-04-06,101624.64831732733
2017-04-07,101624.64831732733
2017-04-10,101624.64831732733
2017-04-11,101624.64831732733
2017-04-12,101624.64831732733
2017-04-13,101624.64831732733
2017-04-17,101624.64831732733
2017-04-18,101624.64831732733
2017-04-19,101624.64831732733
2017-04-20,101904.11188089088
2017-04-21,101978.21188089089
2017-04-24,102459.1690981081
2017-04-25,103158.00265849079
2017-04-26,103270.92939799273
2017-04-27,103502.64766886676
2017-04-28,103156.30314303767
2017-05-01,103955.17423626051
2017-05-02,103760.23983433394
2017-05-03,103171.36616376415
2017-05-04,104555.2610607155
2017-05-05,104555.3481751215
2017-05-08,103955.78719215712
2017-05-09,104818.4904987761
2017-05-10,104439.31215269449
2017-05-11,104545.39498990514
2017-05-12,104095.0398544376
2017-05-15,105429.21221210364
2017-05-16,105878.10222384371
2017-05-17,101162.73532373045
2017-05-18,102983.70848788928
2017-05-19,105370.91138623201
2017-05-22,106974.30926209518
2017-05-23,107822.60052226747
2017-05-24,108403.69256981394
2017-05-25,109356.23568987925
2017-05-26,109499.04898871377
2017-05-30,110012.50508605642
2017-05-31,110920.86202156755
2017-06-01,112671.15260724603
2017-06-02,114796.23517485497
2017-06-05,114105.90923827897
2017-06-06,112565.26975906799
2017-06-07,113739.98027590827
2017-06-08,113704.55592128096
2017-06-09,111751.49229590103
2017-06-12,110527.27460670914
2017-06-13,111376.77645485367
2017-06-14,111017.48331276383
2017-06-15,111311.08875416855
2017-06-16,111493.25875416855
2017-06-19,112382.40057416854
2017-06-20,111488.91635416854
2017-06-21,111588.59635416855
2017-06-22,111340.23407416855
2017-06-23,111340.23407416855
2017-06-26,111340.23407416855
2017-06-27,111340.23407416855
2017-06-28,111340.23407416855
2017-06-29,111340.23407416855
2017-06-30,111340.23407416855
2017-07-03,111340.23407416855
2017-07-05,111340.23407416855
2017-07-06,111340.23407416855
2017-07-07,111340.23407416855
2017-07-10,111340.23407416855
2017-07-11,111340.23407416855
2017-07-12,111340.23407416855
2017-07-13,111340.23407416855
2017-07-14,111340.23407416855
2017-07-17,111340.23407416855
2017-07-18,111340.23407416855
2017-07-19,111340.23407416855
2017-07-20,111340.23407416855
2017-07-21,111340.23407416855
2017-07-24,111340.23407416855
2017-07-25,111340.23407416855
2017-07-26,111340.23407416855
2017-07-27,111623.5794195139
2017-07-28,111644.6394195139
2017-07-31,111737.4594195139
2017-08-01,111501.89941951391
2017-08-02,111338.36835845283
2017-08-03,111727.38088097537
2017-08-04,111443.00478487927
2017-08-07,111783.75478487927
2017-08-08,111087.70199208648
2017-08-09,111032.68199208648
2017-08-10,110308.44199208647
2017-08-11,110447.73199208648
2017-08-14,111282.00199208647
2017-08-15,110932.1248149093
2017-08-16,111209.83481490932
2017-08-17,109671.2248149093
2017-08-18,109799.28811579115
2017-08-21,109247.30483200919
2017-08-22,110741.55051887396
2017-08-23,110274.44517614038
2017-08-24,110219.44880356325
2017-08-25,109786.47140089743
2017-08-28,110062.96296789763
2017-08-29,110659.57350431857
2017-08-30,111875.37300991485
2017-08-31,112705.431484441
2017-09-01,113545.91291592561
2017-09-05,112320.24248804842
2017-09-06,111724.88996006941
2017-09-07,111975.39533148846
2017-09-08,112148.48381303405
2017-09-11,113896.99608775141
