symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,exit_reason,regime,ret_pct
TEL,2017-01-25,2017-01-26,2017-03-10,75.29,74.61,221.0,-0.009031743923495927,-0.011012689467392645,16655.745745745746,scheduled,NORMAL,-1.1012689467392645
AAPL,2017-01-31,2017-02-01,2017-03-16,31.76,35.17,523.0,0.10736775818639788,0.10515413003778362,16627.107107107106,scheduled,NORMAL,10.515413003778363
SNPS,2017-02-15,2017-02-16,2017-03-31,71.73,72.13,233.0,0.005576467307960353,0.0035663199498117137,16729.81981981982,scheduled,NORMAL,0.3566319949811714
LRCX,2017-04-19,2017-04-20,2017-06-02,13.7,15.87,1235.0,0.15839416058394162,0.1560785306569341,16936.436436436437,scheduled,NORMAL,15.607853065693412
HON,2017-04-21,2017-04-24,2017-06-06,122.89,127.09,137.0,0.03417690617625513,0.032109586540808976,16852.782782782782,scheduled,NORMAL,3.2109586540808976
ITW,2017-04-24,2017-04-25,2017-06-07,112.83807420064424,117.4357452392578,150.0,0.04074574181794488,0.0386652910800509,16942.653783880516,scheduled,NORMAL,3.86652910800509
TMUS,2017-04-24,2017-04-25,2017-06-07,66.0,65.92,257.0,-0.00121212121212122,-0.003208698181818237,16978.97897897898,scheduled,NORMAL,-0.3208698181818237
ALGN,2017-04-27,2017-04-28,2017-06-12,139.79,143.41,122.0,0.02589598683739891,0.023845220759711294,17071.45145145145,scheduled,NORMAL,2.3845220759711294
TRMB,2017-04-27,2017-04-28,2017-06-12,34.04,36.31,501.0,0.0666862514688602,0.06455394565217398,17071.111111111113,scheduled,NORMAL,6.455394565217398
AME,2017-05-02,2017-05-03,2017-06-15,55.57795387128703,58.78652572631836,310.0,0.057731017994330225,0.05561661368935944,17246.41211221119,scheduled,NORMAL,5.561661368935944
HLT,2017-05-02,2017-05-03,2017-06-15,61.45,66.85,281.0,0.08787632221318131,0.0857016574450773,17284.734734734735,scheduled,NORMAL,8.57016574450773
MTD,2017-05-04,2017-05-05,2017-06-19,549.9,594.78,31.0,0.08161483906164757,0.0794526909983635,17063.96396396396,scheduled,NORMAL,7.9452690998363495
CI,2017-05-05,2017-05-08,2017-06-20,160.66,169.58,109.0,0.05552097597410688,0.053410989543134724,17529.46946946947,scheduled,NORMAL,5.341098954313472
