date,open,high,low,close,volume
2016-01-04,49.42168515975251,49.48713167581259,48.87940995060597,49.225345611572266,1942300
2016-01-05,49.225349947427006,49.431037487489874,48.66437517477057,48.9729118347168,1277100
2016-01-06,48.22495630706846,48.53348944695436,47.66398144985189,47.860321044921875,1973700
2016-01-07,47.11235800753702,47.15910502053627,46.168055505305624,46.729026794433594,2498700
2016-01-08,47.018865299810386,47.30869892847292,45.79407355210693,45.87821960449219,1708500
2016-01-11,45.95300760588259,46.29893971581583,44.69081709682706,45.06480026245117,2482900
2016-01-12,45.55098410699085,45.597731118395664,44.765622189057616,45.31724548339844,1711900
2016-01-13,45.59772945632948,45.747322027313146,44.26074429278938,44.307491302490234,1325200
2016-01-14,44.39164043310156,45.279847945447166,43.7278235761173,44.86846923828125,1510600
2016-01-15,43.88676724762612,45.02741299072915,43.87741927099995,44.77497482299805,1822900
2016-01-19,45.30789430951002,45.31724585180802,43.914814098852396,44.335540771484375,1202700
2016-01-20,43.39122668802939,43.95219781254259,42.15708736084641,43.531471252441406,1910800
2016-01-21,43.49407681019625,43.91480698120529,42.8302600773641,43.316436767578125,1869200
2016-01-22,44.1765882001354,44.44772578792193,43.5408190264271,43.85870361328125,1381100
2016-01-25,43.74651072972551,43.877403755619376,42.91440200805664,42.91440200805664,1290900
2016-01-26,43.232293893917586,43.68107158694631,43.082701329574675,43.58757400512695,1815200
2016-01-27,43.503420819970046,44.07374349241272,43.04529522728387,43.297733306884766,1589700
2016-01-28,43.72781646012478,43.830662011821936,42.93310310300816,43.17619323730469,1607700
2016-01-29,43.466036524241396,44.064406837031385,43.14815184975067,43.98960876464844,2863700
2016-02-01,43.550175120505465,43.85870819987095,42.979852399162965,43.64366912841797,3142400
2016-02-02,43.09205156900501,43.18554558916951,42.40953523541303,42.55912780761719,2498100
2016-02-03,42.9892094262945,43.204248543031916,41.78311721076988,42.8676643371582,2261100
2016-02-04,42.86766255219355,44.09245423555305,41.99815457874805,43.60627746582031,1878800
2016-02-05,41.08190645674819,42.96116731972626,40.03475823668931,42.38149642944336,3453900
2016-02-08,41.44653136378633,42.00750259204518,41.17539372461504,41.839210510253906,2958400
2016-02-09,41.483935366206886,43.09205844908058,41.17540219714903,42.774173736572266,1952300
2016-02-10,42.64326661970221,43.16683875032998,42.28798298351362,42.65261459350586,2293800
2016-02-11,41.73636625837407,42.493680650123345,41.39978208426327,42.10099792480469,1994000
2016-02-12,42.736766546395444,43.17619627398285,42.437581411271125,42.66197204589844,1722300
2016-02-16,43.307081370850575,43.31643291080025,42.30668059028417,42.98919677734375,2381000
2016-02-17,43.157475510970116,43.325767512449104,42.876990030693925,43.01723098754883,1908500
2016-02-18,43.026595254240526,43.06399428042641,42.58716561297505,42.87700271606445,1300800
2016-02-19,42.83027038757208,43.166851038834025,42.39084059578559,43.12945556640625,1588900
2016-02-22,43.39124170624399,43.868066970458244,43.054657488413376,43.12945556640625,1358900
2016-02-23,43.092040116903014,43.241632649351594,42.297330457001316,42.577816009521484,2424700
2016-02-24,42.01686319131039,42.54978708824803,41.73637749290677,42.428245544433594,2032100
2016-02-25,42.62458036807444,43.3912428549542,42.28799614133333,43.37254333496094,1177900
2016-02-26,43.578220515298064,43.94285212182837,43.16683834049044,43.634315490722656,1070500
2016-02-29,43.811965562234484,43.99895716326294,43.38188737646674,43.3912353515625,1362900
2016-03-01,43.65301385244556,44.95260329170367,43.522120824486436,44.79365921020508,1713000
2016-03-02,44.72822583500717,44.84977092520166,44.400993168985764,44.746925354003906,1155000
2016-03-03,44.859128273660275,45.11156648300427,44.41035042368296,45.083518981933594,927200
2016-03-04,45.018051015471165,45.401382136181795,44.784312440243525,44.999351501464844,1004800
2016-03-07,44.821713671177555,45.19569686630827,44.78431820491895,45.02740478515625,834700
2016-03-08,44.70017190555236,44.99935703329757,44.503828767633024,44.62537384033203,1577300
2016-03-09,44.73756709982373,44.86846371316414,44.44773351527576,44.55057907104492,933300
2016-03-10,44.55992387082362,44.6814689341238,43.77456207958078,44.316837310791016,1456500
2016-03-11,44.77497190670885,44.98066304477458,44.44773924757563,44.94326400756836,1345700
2016-03-14,44.8871620122704,45.52293132978626,43.765219514600744,45.363990783691406,1892200
2016-03-15,45.017414644743994,45.44829206734466,44.764507399340275,45.42955780029297,1488400
2016-03-16,45.15790804467612,45.87916111512576,45.01740642722984,45.69182205200195,1630500
2016-03-17,45.74802992706916,46.90952938896278,45.729295661355216,46.75028991699219,2123900
