date,open,high,low,close,volume
2016-01-04,84.74474164326877,85.36545755477455,84.31694792066583,85.28157806396484,1853500
2016-01-05,85.98621308515324,86.0029864299573,83.84725004538228,84.98802947998047,1589200
2016-01-06,83.73819031161119,85.04672852708917,83.57881477012745,84.13243103027344,1885300
2016-01-07,82.90777546058013,83.9395120642906,81.86765538500306,82.02703094482422,2002700
2016-01-08,82.23673762946743,83.22653133196896,81.64118471349747,82.07736206054688,2541000
2016-01-11,82.51351882222153,83.11745501302725,81.89279649342336,82.57223510742188,2389200
2016-01-12,83.46138624319873,83.889180065076,82.45481932070727,83.78852081298828,1736500
2016-01-13,84.37568260337336,85.82682306924109,81.8257122488113,82.21156311035156,2652800
2016-01-14,82.40448841142458,84.16598376655163,81.7921622125397,83.70464324951172,1928500
2016-01-15,83.38589328090907,83.70463796709025,80.95334918229555,81.69149780273438,1584700
2016-01-19,82.60578610822489,82.70643893769825,81.05398672483095,82.35414123535156,1822000
2016-01-20,81.00367522785135,82.88260305265482,80.52555500101666,82.05218505859375,2844600
2016-01-21,82.41287174509473,82.86582875469868,81.52373746675886,82.16961669921875,1653200
2016-01-22,83.37750633325581,83.62076139160445,81.90120264102806,82.2786636352539,1746800
2016-01-25,81.86763087198382,82.32897767038273,80.52553982154375,80.63458251953125,1400000
2016-01-26,80.96175389775655,82.52193745455713,80.47525007005144,82.32062530517578,1350100
2016-01-27,82.04377808308615,83.5704078223824,81.98506180078995,82.28703308105469,2132200
2016-01-28,82.74000339440676,83.20973372881072,82.12767726557243,82.37092590332031,1815000
2016-01-29,81.17143835467927,83.89756405276886,80.19003463927015,83.88079071044922,3435200
2016-02-01,83.73821529980803,84.70284590787038,82.51355622507423,84.32537841796875,2402500
2016-02-02,82.06056888068015,83.26006429462198,82.0186259307035,82.32898712158203,2462400
2016-02-03,83.31874973464069,86.64881650255016,82.99999879187068,86.64042663574219,2563200
2016-02-04,86.69079997135053,89.74406038395581,86.69079997135053,88.51940155029297,2169200
2016-02-05,88.04964108492094,88.51098145811591,86.96757843568281,88.15868377685547,2021200
2016-02-08,87.67218087886047,87.90705241826423,84.27501342160774,85.49967193603516,2926200
2016-02-09,85.3654784507511,87.40378193438332,85.13061325915504,87.08503723144531,1592800
2016-02-10,87.49604799319152,88.31808253214916,86.39721171727946,86.70757293701172,1107300
2016-02-11,85.3403234583444,86.53143567269015,84.93769920527869,85.6087417602539,1594100
2016-02-12,86.1958826772226,87.19405950741266,85.73453587364253,87.0934066772461,978100
2016-02-16,88.10836853528542,88.10836853528542,86.783050728701,87.23600769042969,1878700
2016-02-17,87.96578725392855,88.41035441940419,87.50444034658791,87.65542602539062,1449200
2016-02-18,87.49605047565542,87.95739738299605,87.30312824138312,87.65542602539062,995300
2016-02-19,87.57993562798656,87.70575169290314,86.37205020801629,86.65724182128906,1354300
2016-02-22,87.14375459369448,88.1167748560155,86.87533631436396,87.42056274414062,1273100
