symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,ret_pct
LYV,2018-05-03,2018-05-04,2018-06-18,46.16,46.97,0.0020356146051778608,0.017547660311958424,0.017547660311958424,0.09396397017501006,1.7547660311958424
JNJ,2018-07-17,2018-07-18,2018-08-29,128.81,134.86,0.0008271128564628006,0.04696840307429562,0.046968403074295395,0.10654040704097335,4.6968403074295395
UAL,2018-07-18,2018-07-19,2018-08-30,80.0,86.92,0.0013308848963610967,0.08650000000000002,0.08650000000000002,0.10647079170888774,8.650000000000002
SNA,2018-07-19,2018-07-20,2018-08-31,172.58,176.78,0.000616572165895278,0.024336539575848803,0.024336539575848803,0.10640802439020709,2.4336539575848803
HUBB,2018-07-24,2018-07-25,2018-09-06,120.51,127.75,0.0008814973967977965,0.060078001825574656,0.060078001825574656,0.10622925128810247,6.007800182557466
APH,2018-07-25,2018-07-26,2018-09-07,23.39,23.84,0.004550406452173233,0.019238991021804264,0.01923899102180404,0.10643400691633192,1.9238991021804042
IEX,2018-07-25,2018-07-26,2018-09-07,150.0,152.35,0.0007095600461088795,0.015666666666666718,0.015666666666666718,0.10643400691633192,1.5666666666666718
NSC,2018-07-25,2018-07-26,2018-09-07,170.5,177.1,0.000624246374875847,0.038709677419354716,0.038709677419354716,0.10643400691633192,3.8709677419354716
TT,2018-07-25,2018-07-26,2018-09-07,74.72,77.8,0.001424437994062258,0.04122055674518199,0.04122055674518199,0.10643400691633192,4.122055674518199
PSX,2018-07-27,2018-07-30,2018-09-11,119.57,112.55,0.0008919181771639234,-0.05871037885757291,-0.05871037885757291,0.10664665644349032,-5.871037885757291
AME,2018-07-31,2018-08-01,2018-09-13,74.03004150977429,76.86563110351562,0.0014521132011484695,0.03830322847201084,0.03830322847201084,0.10750000055791242,3.830322847201084
JCI,2018-07-31,2018-08-01,2018-09-13,36.95,37.94,0.0029093369569123794,0.026792963464140618,0.026792963464140618,0.10750000055791242,2.679296346414062
UDR,2018-07-31,2018-08-01,2018-09-13,29.24565257977947,31.099842071533203,0.003605791477936719,0.06340051693822435,0.06340051693822435,0.10545372483886684,6.340051693822435
AXP,2018-10-18,2018-10-19,2018-12-03,104.06,112.36,0.0010581356307635102,0.079761675956179,0.07976167595617922,0.11010959373725086,7.976167595617922
PYPL,2018-10-18,2018-10-19,2018-12-03,83.75,87.98,0.0013147414177582192,0.05050746268656714,0.05050746268656714,0.11010959373725086,5.050746268656714
NSC,2018-10-24,2018-10-25,2018-12-10,165.55,155.88,0.0006634945808975107,-0.058411356085774746,-0.05841135608577486,0.1098415278675829,-5.841135608577486
EME,2018-10-25,2018-10-26,2018-12-11,68.66,64.79,0.0016055743070797271,-0.05636469560151458,-0.05636469560151458,0.11023873192409406,-5.636469560151458
OKE,2018-10-31,2018-11-01,2018-12-17,65.92,58.6,0.0016759253523447354,-0.11104368932038833,-0.11104368932038844,0.11047699922656497,-11.104368932038843
EPAM,2018-11-01,2018-11-02,2018-12-18,128.42,117.44,0.0008619681602979027,-0.0855007008254165,-0.08550070082541661,0.11069395114545666,-8.55007008254166
GNRC,2018-11-01,2018-11-02,2018-12-18,54.43,51.43,0.0020336937561171533,-0.055116663604629745,-0.055116663604629856,0.11069395114545666,-5.511666360462986
DXCM,2018-11-07,2018-11-08,2018-12-24,35.9,26.99,0.0031297923824393577,-0.2481894150417827,-0.2481894150417827,0.11235954652957293,-24.81894150417827
WDAY,2018-11-29,2018-11-30,2019-01-16,155.15,165.34,0.0007103294370034633,0.06567837576538826,0.06567837576538826,0.11020761215108733,6.567837576538826
UNH,2019-01-15,2019-01-16,2019-03-01,258.73,246.15,0.0004105141728190688,-0.048622115719089476,-0.048622115719089365,0.10621233193347768,-4.8622115719089365
HCA,2019-01-29,2019-01-30,2019-03-14,138.23,131.77,0.0007705047808180233,-0.04673370469507332,-0.04673370469507332,0.10650687585247536,-4.673370469507332
LHX,2019-01-29,2019-01-30,2019-03-14,155.82,160.44,0.0006835250664386815,0.029649595687331498,0.029649595687331498,0.10650687585247536,2.96495956873315
META,2019-01-30,2019-01-31,2019-03-15,165.6,165.98,0.0006437887701692338,0.002294685990338108,0.002294685990338108,0.10661142034002512,0.22946859903381078
COP,2019-01-31,2019-02-01,2019-03-18,68.34,67.61,0.0015596995538057685,-0.010681884694176191,-0.010681884694176191,0.10658986750708623,-1.0681884694176191
