symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,ret_pct
UPS,2019-01-31,2019-02-01,2019-03-18,105.72,110.69,0.0009700066660005767,0.047010972379871285,0.047010972379871285,0.10254910472958097,4.7010972379871285
AKAM,2019-02-12,2019-02-13,2019-03-28,70.35,71.09,0.0014740720086907967,0.010518834399431576,0.010518834399431576,0.10370096581139754,1.0518834399431576
AZO,2019-02-26,2019-02-27,2019-04-10,900.0,1060.17,0.00011632501695116264,0.17796666666666683,0.1779666666666666,0.10469251525604638,17.79666666666666
CSGP,2019-02-26,2019-02-27,2019-04-10,44.5,47.87,0.002121613525937784,0.07573033707865173,0.07573033707865151,0.09441180190423139,7.573033707865151
DHR,2019-04-18,2019-04-22,2019-06-04,111.27,117.4,0.0009521121889380995,0.05509121955603491,0.05509121955603513,0.10594152326314232,5.509121955603513
TRV,2019-04-18,2019-04-22,2019-06-04,138.38,147.55,0.0007655840675180107,0.06626680156091935,0.06626680156091935,0.10594152326314232,6.626680156091935
EBAY,2019-04-23,2019-04-24,2019-06-06,38.0,36.81,0.0027914686761155993,-0.031315789473684186,-0.031315789473684075,0.10607580969239278,-3.1315789473684075
EW,2019-04-23,2019-04-24,2019-06-06,59.63,59.93,0.001778900045151648,0.005031024652020655,0.005031024652020655,0.10607580969239278,0.5031024652020655
MSFT,2019-04-24,2019-04-25,2019-06-07,130.06,131.4,0.0008174781281632168,0.010302937105951093,0.010302937105951093,0.10632120534890797,1.0302937105951093
NOW,2019-04-24,2019-04-25,2019-06-07,261.02,274.55,0.00040732972702822766,0.05183510842081085,0.05183510842081085,0.10632120534890797,5.183510842081085
COF,2019-04-25,2019-04-26,2019-06-10,90.7,90.43,0.0011709485756885426,-0.0029768467475193017,-0.0029768467475191907,0.10620503581495082,-0.29768467475191907
CTRA,2019-04-26,2019-04-29,2019-06-11,26.8,23.99,0.0039879439498394205,-0.10485074626865676,-0.10485074626865676,0.10687689785569647,-10.485074626865675
FIS,2019-04-30,2019-05-01,2019-06-13,115.77,120.84,0.0009251369426152588,0.04379372894532274,0.04379372894532274,0.1071031038465685,4.379372894532274
MA,2019-04-30,2019-05-01,2019-06-13,254.9,261.2,0.00042017694722074734,0.02471557473519015,0.02471557473519015,0.1071031038465685,2.471557473519015
MLM,2019-04-30,2019-05-01,2019-06-13,223.5,222.57,0.00047920851832916557,-0.0041610738255033475,-0.0041610738255033475,0.1071031038465685,-0.41610738255033475
JCI,2019-05-01,2019-05-02,2019-06-14,39.25,39.95,0.002553629486330421,0.017834394904458595,0.017834394904458817,0.10022995733846903,1.7834394904458817
CMG,2019-07-23,2019-07-24,2019-09-05,15.21,16.76,0.00704104045656853,0.10190664036817898,0.10190664036817898,0.10709422534440734,10.190664036817898
