year,total_return,arr_annualized,ann_vol,sharpe,mdd,trading_days,start_nav,end_nav
2017,0.3213310342304576,0.3570212905073691,0.09535645310679404,3.2489624587975863,-0.032522958502005817,230,100079.95805611224,132238.7544840236
2018,0.1326659104520378,0.1332282045543658,0.14702898427308123,0.9954743485888596,-0.08374830949464418,251,133620.8544840236,151347.78679952587
2019,0.0313581740420974,0.0313581740420974,0.022558238143444594,1.439416536678659,-0.01348557940583317,252,151550.52679952586,156302.87459507695
2020,0.07351480778105168,0.07321384944069753,0.08034017386870256,0.919432615661636,-0.040624087411403886,253,156302.87459507695,167793.45037655986
2021,0.6032489199856077,0.6032489199856077,0.1478753979835106,3.268669670027873,-0.05096097052304549,252,167793.45037655986,269014.6680968783
2022,-0.05592099791242544,-0.0561374170468516,0.07452436241257417,-0.7712425318540831,-0.08200486759645842,251,268351.9980968783,253345.48657150756
2023,0.9039365005882101,0.9137697231596178,0.17772447115844722,3.7155961981759664,-0.0626140086872432,250,252071.88657150755,479928.8656156243
2024,0.39162434981817507,0.4127743999949698,0.11210644856738318,3.0177742475896365,-0.046074942381641226,241,473678.5760956243,659182.6404818721
