date,gross_exposure
2017-01-26,0.09498374371390626
2017-01-27,0.09471909761567439
2017-01-30,0.09444278009822432
2017-01-31,0.09454641893218788
2017-02-01,0.19161101542427364
2017-02-02,0.19135207074470026
2017-02-03,0.19258451318704747
2017-02-06,0.1934447406541936
2017-02-07,0.1943986603150489
2017-02-08,0.19386633155885372
2017-02-09,0.1945224054705183
2017-02-10,0.1941493693595892
2017-02-13,0.19518566329282078
2017-02-14,0.19622488832074744
2017-02-15,0.19667558329436613
2017-02-16,0.2900803077294055
2017-02-17,0.2901128170736289
2017-02-21,0.291528954301579
2017-02-22,0.2916129167321956
2017-02-23,0.29030802252197924
2017-02-24,0.29126159180306793
2017-02-27,0.29201373355683913
2017-02-28,0.29100234561800337
2017-03-01,0.2947043416029349
2017-03-02,0.2925843197377197
2017-03-03,0.29303737947724107
2017-03-06,0.2913296310015416
2017-03-07,0.29190195276712105
2017-03-08,0.2920489477392832
2017-03-09,0.2916848284880201
2017-03-10,0.19863698572898977
2017-03-13,0.19895963404812006
2017-03-14,0.19743199267093905
2017-03-15,0.19777903620123968
2017-03-16,0.0933988319218057
2017-03-17,0.09385333383340158
2017-03-20,0.09430738026691714
2017-03-21,0.09321929773921583
2017-03-22,0.09376964404131635
2017-03-23,0.09394896038464265
2017-03-24,0.09386528825617349
2017-03-27,0.09411625829262896
2017-03-28,0.09483255011027387
2017-03-29,0.09517835191463805
2017-03-30,0.0951306708231783
2017-03-31,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.09721306470649879
2017-04-21,0.09759065141408488
2017-04-24,0.19464657547437283
2017-04-25,0.386839927650088
2017-04-26,0.3872263589872313
2017-04-27,0.38801970149024884
2017-04-28,0.5763867502817338
2017-05-01,0.5782715775081266
2017-05-02,0.5778132054216725
2017-05-03,0.767514570306763
2017-05-04,0.7693003624519479
2017-05-05,0.8605098054853245
2017-05-08,0.9559623694985483
2017-05-09,0.9561737414174687
2017-05-10,1.1482863728246115
2017-05-11,1.1482202381373487
2017-05-12,1.1486098892067613
2017-05-15,1.1475525306896712
2017-05-16,1.147210992433507
2017-05-17,1.1511175346861415
2017-05-18,1.1496120039653275
2017-05-19,1.1476760234920471
2017-05-22,1.1464177688449801
2017-05-23,1.145769753431093
2017-05-24,1.1453376775209425
2017-05-25,1.1446161664423975
2017-05-26,1.1445262224769885
2017-05-30,1.144151041721992
2017-05-31,1.1434816729224424
2017-06-01,1.1421855932794975
2017-06-02,1.0376644254199434
2017-06-05,1.037804834058251
2017-06-06,0.9458415295230214
2017-06-07,0.7648041682922921
2017-06-08,0.7647742456601287
2017-06-09,0.7623765046822337
2017-06-12,0.5711147450842603
2017-06-13,0.5730187846119045
2017-06-14,0.5722112742667599
2017-06-15,0.377554615218926
2017-06-16,0.37814234086584547
2017-06-19,0.286822521983024
2017-06-20,0.1866629405647238
2017-06-21,0.18708935297500642
2017-06-22,0.0
2017-06-23,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-03,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.09702089816342825
2017-07-28,0.09711903736227073
2017-07-31,0.0975513227135379
2017-08-01,0.09645345368196878
2017-08-02,0.19036426819606136
2017-08-03,0.2871357000487502
2017-08-04,0.38088508911692226
2017-08-07,0.3819809252347794
2017-08-08,0.4755405499573966
2017-08-09,0.4753917706657287
2017-08-10,0.4734302270373162
2017-08-11,0.47381032757912356
2017-08-14,0.4760589674951151
2017-08-15,0.5713336890084577
2017-08-16,0.5719460809125694
2017-08-17,0.5685342115338221
2017-08-18,0.6653873798407626
2017-08-21,0.664423356885614
2017-08-22,0.6670374425110367
2017-08-23,0.6662376236255976
2017-08-24,0.6661455725829515
2017-08-25,0.6653962654609005
2017-08-28,0.6658914372056559
2017-08-29,0.6669324857487559
2017-08-30,0.6690374428276779
2017-08-31,0.6704484312718397
2017-09-01,0.7670032696482478
2017-09-05,0.7655520951922354
2017-09-06,0.7648411663056995
2017-09-07,0.7651607835904753
2017-09-08,0.6696341385745379
2017-09-11,0.6725780116917423
2017-09-12,0.6723112880966591
2017-09-13,0.6724226980202047
2017-09-14,0.5786497754536439
2017-09-15,0.48265876978539834
2017-09-18,0.3869980737100627
2017-09-19,0.38664546079644213
2017-09-20,0.2916396802779199
2017-09-21,0.29065208788204794
2017-09-22,0.2926023901258506
2017-09-25,0.2860766217232771
2017-09-26,0.28531031515119043
2017-09-27,0.1943667440612163
2017-09-28,0.1977827558428716
2017-09-29,0.20201989411237775
2017-10-02,0.09367495253504007
2017-10-03,0.09353401783320754
2017-10-04,0.09335778780651667
2017-10-05,0.09420306758473126
2017-10-06,0.1911472071327096
2017-10-09,0.18993470483473557
2017-10-10,0.1920155327695855
2017-10-11,0.19111952278360536
2017-10-12,0.1906171842977559
2017-10-13,0.19189212674340173
2017-10-16,0.09593067574826299
2017-10-17,0.09724338919543388
2017-10-18,0.19334896723855952
2017-10-19,0.19291527301243985
2017-10-20,0.19258399743914034
2017-10-23,0.19457570362958188
2017-10-24,0.29161998065115025
2017-10-25,0.38607242299297667
2017-10-26,0.3869585177902059
2017-10-27,0.6762519044388218
2017-10-30,0.7691334634187724
2017-10-31,0.7708281717071404
2017-11-01,0.8644081714890598
2017-11-02,0.9593490762808744
2017-11-03,1.147470454897211
2017-11-06,1.063923084646849
2017-11-07,1.0638016881162362
2017-11-08,1.0636054563363866
2017-11-09,1.0640601379245584
2017-11-10,1.064189640420034
2017-11-13,1.0639118942999166
2017-11-14,1.0638169123541477
2017-11-15,1.0642293801997127
2017-11-16,1.0636624282579898
2017-11-17,0.9686373120135645
2017-11-20,0.9687713952783021
2017-11-21,0.9689614881166009
2017-11-22,0.969016960639121
2017-11-24,0.9691128807952751
2017-11-27,0.9690230382834069
2017-11-28,0.9692855191461134
2017-11-29,0.9691527416827134
2017-11-30,0.8647208336979849
2017-12-01,0.8641344641843992
2017-12-04,0.8636395976221061
2017-12-05,0.863001952066282
2017-12-06,0.8630804021030127
2017-12-07,0.770067064736238
2017-12-08,0.7701326608363699
2017-12-11,0.4817925313700121
2017-12-12,0.39058140826244814
2017-12-13,0.3899255601715424
2017-12-14,0.2983954083183696
2017-12-15,0.18840331285230147
2017-12-18,0.0
2017-12-19,0.0
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,0.0
2017-12-26,0.0
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.09634318462069424
2018-01-16,0.09564417593511966
2018-01-17,0.09618309058876481
2018-01-18,0.1885565950010985
2018-01-19,0.19090358169927968
2018-01-22,0.1925385782359191
2018-01-23,0.2896265752679597
2018-01-24,0.2832294287032732
2018-01-25,0.2805100074438764
2018-01-26,0.4745582381585849
2018-01-29,0.5687758069161626
2018-01-30,0.5674211490311459
2018-01-31,0.5677377002993022
2018-02-01,0.6646776489924229
2018-02-02,0.8572547503741798
2018-02-05,0.4876523354074563
2018-02-06,0.4899796580857301
2018-02-07,0.4892997394524912
2018-02-08,0.4826631727214451
2018-02-09,0.48407187675536867
2018-02-12,0.48876974557677977
2018-02-13,0.4902620951796876
2018-02-14,0.49355969870586675
2018-02-15,0.5879123688193506
2018-02-16,0.5882499639028886
2018-02-20,0.5861183415980272
2018-02-21,0.5856790183461981
2018-02-22,0.5867212958538542
2018-02-23,0.5887171073037798
2018-02-26,0.5906274397647907
2018-02-27,0.5882353907285798
2018-02-28,0.7563636952475815
2018-03-01,0.6735151333754108
2018-03-02,0.48115994386120187
2018-03-05,0.48218776371939426
2018-03-06,0.48427392575141287
2018-03-07,0.48636449099457063
2018-03-08,0.48744926753143586
2018-03-09,0.4901421140555352
2018-03-12,0.3862972045367804
2018-03-13,0.3850991243929268
2018-03-14,0.3842265740353297
2018-03-15,0.3830900224950703
2018-03-16,0.28775541878204014
2018-03-19,0.18474994722644647
2018-03-20,0.18676452662305357
2018-03-21,0.18795952964358292
2018-03-22,0.18646763834866414
2018-03-23,0.18416212186030106
2018-03-26,0.18744502392674173
2018-03-27,0.18559361935391772
