Year,Return,Volatility,MDD,Trading Days
2017,0.15511737948829785,0.061474697125055704,-0.028155449825264207,234
2018,0.08268755636942848,0.10766086282007344,-0.07520943384953506,251
2019,0.1145074868177236,0.07781335122685643,-0.03654011141578064,252
2020,-0.05951611612405894,0.042095693990832676,-0.08901434134883125,253
2021,0.19035261467581677,0.09690982918536978,-0.05972354479242116,252
2022,-0.006296600900858151,0.06266896861182755,-0.05915339130793511,251
2023,0.11769072616176923,0.0887771363041319,-0.1086712814271695,250
2024,0.1105722328497365,0.08408133666982257,-0.08507637901579596,252
2025,0.014490391719111706,0.05852477383270263,-0.06020598173568411,234
