Year,Return,Volatility,MDD,Trading Days
2017,0.22332363887207474,0.08775996370077728,-0.04002655534593463,234
2018,0.10635488481999467,0.15277751640976997,-0.10748586171454044,251
2019,0.1645741645293588,0.11206276552072363,-0.05216733675057962,252
2020,-0.08138963724327308,0.056282436108948966,-0.11628325564718309,253
2021,0.2714092587039727,0.13806466868145595,-0.08531710932182666,252
2022,-0.02909534784955481,0.07498142633835758,-0.08526017763498205,251
2023,0.16510374139534778,0.1264789678305845,-0.14867029821053104,250
2024,0.15014517835220298,0.1182590669385228,-0.12085767225953953,252
2025,-0.000537429046434168,0.078953490482318,-0.08279092490693449,234
