risk_gate,eps_gate,day_ret_gate,pre_ret_gate,n_trades,wins,win_rate,wilson_lb,wilson_ub,avg_return,lb_ge_80
any,0,0,999,642,526,0.8193146417445483,0.7876809229665876,0.8471497996517149,,False
low,0,0,999,486,388,0.7983539094650206,0.7604057378752687,0.8316225495999943,,False
